MBRF11,Outros,Ativa,"1138,15","96,5","1291,29","848,5",148933,86261900,"0,0",116743000,2,2,"96,5","656,0","4837,0","17216,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
MGFF11,Títulos e Val. Mob.,Ativa,"88,63","6,72","94,48","68,02",2393190,776091000,"0,0",815971000,0,0,"0,0","0,0","0,0","0,0","60,0",Div Yield ok | P/VPC otimo | Liquidez: ok | Ativos: ok | Vacancia: N/A
NPAR11,Outros,Ativa,"123,04","0,0","144,0","103,06",3847,16650900,"0,0",14890100,0,0,"0,0","0,0","0,0","0,0","10,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
OULG11,Logística,Ativa,"94,1","7,37","97,81","71,2",314846,180042000,"0,0",256060000,2,2,"105,6","304,0","1848,0","102891,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
FPNG11,Lajes Corporativas,Ativa,"166,77","5,55","0,0","0,0",0,99050000,"0,27399999999999997",165895000,6,22,"92,8","429,0","6155,0","14939,0","12,26",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: ok
FPAB11,Lajes Corporativas,Passiva,"448,97","20,48","349,48","261,86",38767,202500000,"0,315",341928000,2,76,"98,9","438,0","4427,0","45242,0","26,85",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: muito alta
RBRY11,Títulos e Val. Mob.,Ativa,"106,42","8,22","105,32","78,16",375873,205277000,"0,0",210328000,0,0,"0,0","0,0","0,0","0,0","45,0",Div Yield ok | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
RBRP11,Outros,Ativa,"87,67","6,06","94,86","56,48",3656260,778297000,"0,037000000000000005",986836000,11,125,"97,8","365,0","14492,0","52521,0","59,63",Div Yield ok | P/VPC otimo | Liquidez: ok | Ativos: ok | Vacancia: otima
RCRB11,Lajes Corporativas,Ativa,"197,96","9,43","175,32","111,13",655250,572058000,"0,07400000000000001",734957000,10,34,"77,3","820,0","12515,0","35354,0","34,26",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
RBED11,Outros,Ativa,"150,57","12,07","163,05","111,29",486751,259460000,"0,0",294950000,5,5,"99,4","275,0","3052,0","84466,0","55,0",Div Yield otimo | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
