BDLL3,Máq. e Equip. Industriais,"18,99","27,51",30384000,273770000,6667,"-0,18","-0,2","-1,08","1,22","0,04","-0,13","-0,05","0,0","-13,43","-9,77","-0,46","-103,34","-95,47","-0,602","-1,122","-6,622000000000001","-0,040999999999999995","-0,048","1,082",681867000,243471000,243386000,-152754000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
LINX3,Programas e Serviços,"16,46","38,97",7082000000,6839770000,46952800,"-1487,19","4,21","51,29","8,19","2,63","10,31","32,27","0,003","23,55","49,53","0,158","-0,03","8,89","0,6679999999999999","0,16","-0,006","0,051","0,07200000000000001","-0,003",2696560000,515444000,-242232000,1684040000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
BDLL4,Máq. e Equip. Industriais,"6,0","15,04",14064000,257450000,68575,"-0,09","-0,09","-0,5","0,56","0,02","-0,06","-0,02","0,0","-12,63","-9,19","-0,46","-103,34","-95,47","-0,602","-1,122","-6,622000000000001","-0,040999999999999995","-0,048","1,082",681867000,243471000,243386000,-152754000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
LIPR3,Energia Elétrica,"65,5","99,0",781196000,690531000,23439,"23,94","3,91","44,32",N/A,"3,41","11,07","12,17","0,0","39,18","39,18",N/A,"2,77","16,98",N/A,N/A,"0,0","0,077","0,127","0,163",229229000,0,-90665000,199744000,"25,0",P/L Ok | Divida Liq. negativa | DY Ruim | P/VP Ruim
BEEF3,Carnes e Derivados,"6,41","14,32",5298290000,10478900000,90856400,"7,6","6,31","2,9","0,27","0,31","1,08","-1,1","0,031","4,91","5,74","0,191","1,27","1,53","0,198","0,094","0,036000000000000004","0,10800000000000001","0,223","0,83",16923300000,11572000000,5180610000,840072000,"20,0",P/L Otimo | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
LJQQ3,Produtos Diversos,"12,6","20,36",2773760000,2642530000,36657900,"40,87","5,79","16,17","1,71","1,25","4,44","-20,25","0,005","11,35","15,4","0,20600000000000002","0,36","2,56","0,413","0,106","0,042","0,077","0,128","0,142",2218690000,375743000,-131230000,479327000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
LLIS3,"Tecidos, Vestuário e Calçados","3,81","10,47",282978000,1847120000,307324,"-0,64","0,46","-0,73","0,44","0,11","0,88","-0,22","0,0","-10,04","-4,79","-0,127","-6,4","9,02","0,319","-0,601","-2,844","-0,155","-0,166","-0,71",2494650000,1622480000,1564140000,620881000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
BEES3,Bancos,"4,58","6,1",1573250000,N/A,245992,"6,79","0,92",N/A,N/A,N/A,N/A,N/A,"0,04",N/A,N/A,"0,068","0,73","5,43",N/A,N/A,"0,0","0,0",N/A,"0,135",30408300000,0,1713900000,N/A,"55,0",P/L Otimo | Patrim. Liq. nao disponivel | DY Ok | P/VP Otimo
LOGG3,Exploração de Imóveis,"15,16","39,51",3100530000,3447330000,12813000,"22,15","1,01","28,78","21,91","0,74","6,85","-8,89","0,018000000000000002","31,78","32,0","0,107","1,37","29,95","0,988","0,7609999999999999","1,0070000000000001","0,026000000000000002","0,028999999999999998","0,046",4212180000,800663000,346808000,3060120000,"25,0",P/L Ok | Divida Liq./Patrim Bom | DY Ruim | P/VP Otimo
LOGN3,Transporte Hidroviário,"11,13","19,85",1704710000,2385140000,12987400,"131,63","4,82","13,01","1,51","0,77","2,65","-2,15","0,0","10,04","18,2","0,09300000000000001","0,12","3,35","0,207","0,11599999999999999","0,012","0,059000000000000004","0,095","0,037000000000000005",2206510000,1390100000,680432000,353809000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
LPSB3,Intermediação Imobiliária,"3,02","6,04",522343000,385646000,4311210,"-35,35","3,16","15,89","3,32","1,39","4,56","-13,08","0,0","7,24","11,73","0,02","-0,1","1,12","0,858","0,209","-0,021","0,087","0,14300000000000002","-0,08900000000000001",376268000,3500000,-136697000,165557000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
LREN3,"Tecidos, Vestuário e Calçados","29,82","48,74",33088800000,33801500000,369139000,"30,18","6,01","34,45","4,39","2,26","10,14","-135,33","0,008","19,3","35,2","0,057999999999999996","1,38","6,91","0,5720000000000001","0,127","0,145","0,066","0,091","0,19899999999999998",14642600000,3384980000,712626000,5501320000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
BEES4,Bancos,"4,63","6,26",1889160000,N/A,19926,"8,15","1,1",N/A,N/A,N/A,N/A,N/A,"0,033",N/A,N/A,"0,068","0,73","5,43",N/A,N/A,"0,0","0,0",N/A,"0,135",30408300000,0,1713900000,N/A,"50,0",P/L Otimo | Patrim. Liq. nao disponivel | DY Ruim | P/VP Otimo
LUXM3,Transporte Hidroviário,"0,0","0,0",51960000,58002000,0,"4,41","0,54","3,97","0,48","0,33","2,72","-2,46","0,0","1,97","4,43","0,064","2,27","18,64","0,259","0,122","0,109","0,084","0,099","0,122",155801000,27205000,6042000,96830000,"30,0",P/L Otimo | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
LUXM4,Transporte Hidroviário,"18,26","69,0",358472000,364514000,27014,"30,46","3,7","27,39","3,33","2,3","18,78","-17,0","0,068","12,4","27,85","0,064","2,27","18,64","0,259","0,122","0,109","0,084","0,099","0,122",155801000,27205000,6042000,96830000,"20,0",P/L Ruim | Divida Liq./Patrim Bom | DY Bom | P/VP Ruim
LWSA3,Programas e Serviços,"2,55","34,99",13272400000,12897400000,274240000,"749,09","20,2","288,02","29,28","10,9","28,95","43,54","0,001","125,33","279,89",N/A,"0,03","1,12","0,42","0,102","0,039","0,038","0,071","0,027000000000000003",1217940000,169514000,-375053000,657061000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
BGIP3,Bancos,"38,43","49,15",587403000,N/A,1481,"10,81","1,2",N/A,N/A,N/A,N/A,N/A,"0,026000000000000002",N/A,N/A,"0,096","3,56","31,91",N/A,N/A,"0,0","0,0",N/A,"0,111",6827920000,5618830000,487808000,N/A,"40,0",P/L Bom | Patrim. Liq. nao disponivel | DY Ruim | P/VP Ok
MDIA3,Alimentos Diversos,"26,48","41,0",10512400000,10839900000,36788600,"12,83","1,62","15,05","1,45","1,09","5,92","12,94","0,015","11,39","15,52","0,08199999999999999","2,42","19,18","0,35","0,096","0,113","0,07200000000000001","0,086","0,126",9677290000,1650340000,327539000,6502650000,"20,0",P/L Bom | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
BGIP4,Bancos,"19,86","32,33",345441000,N/A,46154,"6,36","0,71",N/A,N/A,N/A,N/A,N/A,"0,048",N/A,N/A,"0,096","3,56","31,91",N/A,N/A,"0,0","0,0",N/A,"0,111",6827920000,5618830000,487808000,N/A,"45,0",P/L Otimo | Patrim. Liq. nao disponivel | DY Ok | P/VP Ruim
