SBSP3,Ações,Água e Saneamento
CSAB4,Ações,Seguradoras
SCAR3,Ações,Exploração de Imóveis
SEER3,Ações,Serviços Educacionais
CSAN3,Ações,"Exploração, Refino e Distribuição"
SGPS3,Ações,Fios e Tecidos
SHOW3,Ações,Produção de Eventos e Shows
CSMG3,Ações,Água e Saneamento
SHUL4,Ações,"Motores, Compressores e Outros"
CSNA3,Ações,Siderurgia
CSRN3,Ações,Energia Elétrica
SIMH3,Ações,Holdings Diversificadas
SLCE3,Ações,Agricultura
SLED3,Ações,Produtos Diversos
CSRN5,Ações,Energia Elétrica
SLED4,Ações,Produtos Diversos
CSRN6,Ações,Energia Elétrica
SMLS3,Ações,Programas de Fidelização
SMTO3,Ações,Açucar e Alcool
CTKA3,Ações,Fios e Tecidos
CTKA4,Ações,Fios e Tecidos
SOND3,Ações,Engenharia Consultiva
CTNM3,Ações,Fios e Tecidos
CTNM4,Ações,Fios e Tecidos
SOND5,Ações,Engenharia Consultiva
CTSA3,Ações,Fios e Tecidos
SOND6,Ações,Engenharia Consultiva
CTSA4,Ações,Fios e Tecidos
CVCB3,Ações,Viagens e Turismo
SQIA3,Ações,Programas e Serviços
CYRE3,Ações,Incorporações
STBP3,Ações,Serviços de Apoio e Armazenagem
DASA3,Ações,Análises e Diagnósticos
DIRR3,Ações,Incorporações
DMMO3,Ações,"Exploração, Refino e Distribuição"
SULA3,Ações,Seguradoras
SULA4,Ações,Seguradoras
DOHL3,Ações,Fios e Tecidos
DOHL4,Ações,Fios e Tecidos
SUZB3,Ações,Papel e Celulose
TAEE3,Ações,Energia Elétrica
DTEX3,Ações,Madeira
TAEE4,Ações,Energia Elétrica
EALT3,Ações,Máq. e Equip. Industriais
TASA3,Ações,Armas e Munições
EALT4,Ações,Máq. e Equip. Industriais
TASA4,Ações,Armas e Munições
ECOR3,Ações,Exploração de Rodovias
TCNO3,Ações,Engenharia Consultiva
ECPR3,Ações,Fios e Tecidos
TCNO4,Ações,Engenharia Consultiva
ECPR4,Ações,Fios e Tecidos
EEEL3,Ações,Energia Elétrica
TCSA3,Ações,Incorporações
EEEL4,Ações,Energia Elétrica
TECN3,Ações,Acessórios
EGIE3,Ações,Energia Elétrica
TEKA3,Ações,Fios e Tecidos
TEKA4,Ações,Fios e Tecidos
TELB3,Ações,Telecomunicações
EKTR3,Ações,Energia Elétrica
TELB4,Ações,Telecomunicações
TEND3,Ações,Incorporações
EKTR4,Ações,Energia Elétrica
TGMA3,Ações,Transporte Rodoviário
ELET3,Ações,Energia Elétrica
TIET3,Ações,Energia Elétrica
ELET5,Ações,Energia Elétrica
TIET4,Ações,Energia Elétrica
ELET6,Ações,Energia Elétrica
TIMS3,Ações,Telecomunicações
EMAE4,Ações,Energia Elétrica
TKNO4,Ações,Artefatos de Ferro e Aço
TOTS3,Ações,Programas e Serviços
EMBR3,Ações,Material Aeronáutico e de Defesa
TPIS3,Ações,Exploração de Rodovias
ENAT3,Ações,"Exploração, Refino e Distribuição"
TRIS3,Ações,Incorporações
ENBR3,Ações,Energia Elétrica
TRPL3,Ações,Energia Elétrica
ENEV3,Ações,Energia Elétrica
ENGI3,Ações,Energia Elétrica
ENGI4,Ações,Energia Elétrica
TRPL4,Ações,Energia Elétrica
ENMT3,Ações,Energia Elétrica
ENMT4,Ações,Energia Elétrica
TUPY3,Ações,Material Rodoviário
EQPA3,Ações,Energia Elétrica
EQPA5,Ações,Energia Elétrica
UCAS3,Ações,Móveis
EQPA6,Ações,Energia Elétrica
UGPA3,Ações,"Exploração, Refino e Distribuição"
EQPA7,Ações,Energia Elétrica
EQTL3,Ações,Energia Elétrica
UNIP3,Ações,Químicos Diversos
UNIP5,Ações,Químicos Diversos
UNIP6,Ações,Químicos Diversos
ETER3,Ações,Produtos para Construção
USIM3,Ações,Siderurgia
USIM6,Ações,Siderurgia
EUCA3,Ações,Madeira
EUCA4,Ações,Madeira
VALE3,Ações,Minerais Metálicos
EVEN3,Ações,Incorporações
EZTC3,Ações,Incorporações
FESA3,Ações,Siderurgia
VIVA3,Ações,Acessórios
VIVT3,Ações,Telecomunicações
FESA4,Ações,Siderurgia
FHER3,Ações,Fertilizantes e Defensivos
VLID3,Ações,Serviços Diversos
FIGE3,Ações,Outros
FIGE4,Ações,Outros
FLRY3,Ações,Análises e Diagnósticos
VULC3,Ações,Calçados
