GTWR11,Lajes Corporativas,Ativa,"100,8","8,2","113,7","101,82",1792070,1307880000,"0,0",1210290000,3,48,"99,0","1030,0","14528,0","89154,0","55,0",Div Yield ok | P/VPC ok | Liquidez: ok | Ativos: otimo | Vacancia: otima
HBTT11,Títulos e Val. Mob.,Ativa,"886,32","0,0","1324,32","945,0",0,190126000,"0,0",0,0,0,"0,0","0,0","0,0","0,0","10,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
HUSC11,Outros,Passiva,"129,69","8,19","156,78","122,31",23994,107519000,"0,0",108391000,1,1,"99,4","72,0","1459,0","73270,0","45,0",Div Yield ok | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
FIIB11,Híbrido,Passiva,"442,51","30,25","534,48","423,98",442152,344486000,"0,004",306228000,11,79,"96,6","42,0","611,0","544558,0","29,96",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: otima
FMOF11,Lajes Corporativas,Passiva,"132,17","1,08","101,58","70,0",5109,35575800,"0,37799999999999995",67239200,2,96,"98,4","182,0","2109,0","16595,0","6,22",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: muito alta
MBRF11,Outros,Ativa,"1140,07","95,15","1279,55","774,9",108411,87044700,"0,0",116886000,2,2,"96,4","656,0","4873,0","17216,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
MGFF11,Títulos e Val. Mob.,Ativa,"85,35","6,85","93,77","78,97",1931870,768579000,"0,0",787272000,0,0,"0,0","0,0","0,0","0,0","70,0",Div Yield otimo | P/VPC otimo | Liquidez: ok | Ativos: ok | Vacancia: N/A
NPAR11,Outros,Ativa,"122,96","41,01","144,0","103,06",102940,15905500,"0,0",14962000,0,0,"0,0","0,0","0,0","0,0","25,0",Div Yield perigosamente alto | P/VPC ok | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
OULG11,Logística,Ativa,"93,83","7,12","96,46","70,22",164884,175873000,"0,0",264090000,2,2,"103,1","304,0","1761,0","102891,0","35,0",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
FPNG11,Lajes Corporativas,Ativa,"166,78","5,63","0,0","0,0",0,99050000,"0,27399999999999997",165892000,6,22,"92,8","429,0","6155,0","14939,0","12,26",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: ok
FPAB11,Lajes Corporativas,Passiva,"448,27","19,68","322,47","253,93",57963,202890000,"0,315",341567000,2,76,"99,1","438,0","4443,0","45242,0","26,85",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: muito alta
